V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
 4013, 6071,13277,17031,22083,36005,36047,45083,48201,48253,48315
Maricopa,San Bernardino,Tift,Cook,Richland,Bronx,Kings,Spartanburg,Harris,Jones,Marion
Arizona,California,Georgia,Illinois,Louisiana,New York,New York,South Carolina,Texas,Texas,Texas
US,US,US,US,US,US,US,US,US,US,US
178639, 76685,  2299,260004,  1190, 61663, 84060, 10884,175959,  1742,   202
180608, 78298,  2316,262429,  1205, 61866, 84406, 10967,177466,  1742,   204
183177, 80318,  2340,268284,  1214, 62256, 85050, 11158,178811,  1757,   204
185580, 81328,  2356,272733,  1323, 62677, 85693, 11363,179911,  1769,   205
187636, 84201,  2368,277026,  1323, 63078, 86319, 11468,181361,  1775,   206
190034, 84531,  2375,280896,  1341, 63534, 86959, 11631,182192,  1775,   206
191503, 85176,  2386,284217,  1354, 63972, 87524, 11714,183252,  1775,   206
194410, 87542,  2404,287124,  1359, 64317, 87958, 11854,185304,  1793,   207
196849, 88453,  2447,291312,  1362, 64578, 88415, 11950,187163,  1801,   210
198822, 88469,  2483,296129,  1362, 65116, 89153, 11950,187759,  1805,   210
201340, 90222,  2499,298870,  1390, 65586, 89870, 12141,187867,  1805,   210
203663, 92164,  2529,301582,  1390, 66103, 90649, 12291,187932,  1805,   210
205332, 93019,  2541,304220,  1400, 66301, 90997, 12414,190631,  1814,   210
205658, 93671,  2546,306369,  1405, 66831, 91796, 12496,191513,  1814,   212
213121, 94106,  2596,310722,  1413, 67292, 92389, 12628,192127,  1814,   212
215386, 96657,  2632,314134,  1424, 67643, 93071, 12759,193089,  1860,   216
218935, 99104,  2675,318324,  1436, 68241, 94131, 12920,194899,  1891,   217
222218,100787,  2716,322122,  1449, 68993, 95258, 13247,195558,  1906,   219
225782,103911,  2748,325813,  1449, 69656, 96276, 13503,196658,  1929,   217
228312,106770,  2752,329003,  1469, 70334, 97315, 13790,198961,  1929,   217
228486,107928,  2771,332693,  1482, 71020, 98270, 14017,199597,  1929,   218
236818,108946,  2804,335204,  1485, 71455, 98960, 14211,200397,  1966,   222
239417,111518,  2839,338093,  1496, 71811, 99704, 14391,201496,  1973,   224
241880,115641,  2876,342654,  1507, 72541,100930, 14560,202861,  1990,   223
245671,120186,  2909,346004,  1517, 73193,102058, 14927,204850,  1996,   227
250319,124264,  2944,349461,  1517, 73891,103198, 15168,205928,  1999,   228
253686,126738,  2953,352409,  1544, 74602,104372, 15515,207406,  1999,   229
260661,127791,  2953,355467,  1545, 75209,105405, 15759,208737,  1999,   229
263191,129522,  2990,358014,  1549, 75685,106137, 15972,210362,  2040,   233
266196,137548,  3032,360117,  1563, 76112,106999, 16215,212686,  2050,   236
269744,144455,  3063,363261,  1591, 76862,108357, 16325,214180,  2098,   237
274026,151113,  3101,366020,  1602, 77651,109617, 16665,215779,  2115,   238
277071,157655,  3129,368824,  1602, 78213,110670, 16871,217086,  2124,   246
279885,159883,  3133,371088,  1617, 78599,111485, 17277,219265,  2124,   246
284462,163945,  3145,373008,  1620, 79347,112687, 17408,221860,  2124,   246
287646,168307,  3175,375360,  1632, 79842,113617, 17659,222931,  2193,   247
291412,170885,  3239,377709,  1646, 80252,114568, 17965,224245,  2215,   247
295379,174091,  3292,380096,  1665, 81074,116111, 18242,225102,  2228,   250
299056,176866,  3314,382213,  1665, 81937,117557, 18242,225365,  2228,   250
302640,181812,  3332,383480,  1665, 82666,118826, 18477,225443,  2228,   251
302707,185111,  3344,384931,  1671, 83185,119848, 19121,231707,  2259,   251
309737,186776,  3363,386469,  1679, 83382,120283, 19283,233330,  2259,   251
311242,191087,  3437,388386,  1687, 83891,121199, 19455,234736,  2279,   252
314464,193214,  3535,390927,  1719, 84589,122489, 19613,236673,  2341,   254
318827,194377,  3566,393652,  1744, 85385,123847, 19756,237727,  2351,   261
325404,199115,  3654,393652,  1744, 86505,125467, 19756,239657,  2343,   261
331233,203651,  3672,397942,  1744, 87727,127067, 20032,243059,  2343,   265
342994,206939,  3699,399609,  1778, 88526,128248, 20769,245551,  2343,   270
346183,208271,  3722,401457,  1782, 89197,129252, 21173,247458,  2343,   277
349852,213357,  3791,403987,  1803, 90121,130653, 21315,249488,  2379,   282
354810,214813,  3838,406674,  1817, 90958,132075, 21692,250854,  2389,   297
360707,216394,  3877,410005,  1849, 92156,133865, 21970,253612,  2388,   303
367856,219691,  3896,413504,  1863, 93440,135829, 22273,256046,  2421,   305
374740,224350,  3949,415991,  1863, 94723,137746, 22612,259773,  2444,   309
382409,228857,  3966,417790,  1904, 95878,139496, 23119,262525,  2444,   316
